PRS ng mga NNC  | siya ng mga paruparo | true false false true
sa kanya ng JJD  | sa kanya ng hambog | false false false true
ang PRSP mga NNC  | ang kanyang mga kapatid | false true false true
PRQ ang NNC ng  | Magkano ang kita ng | true false true false
ang NNC sa PRSP  | ang payo sa kanya | false true false true
ng NNC na PRO  | ng bahay na 'yon | false true false true
CCT mga NNC RBI  | kundi mga papuri lamang | true false true true
ang mga tao CCT  | ang mga tao para | false false false true
QOT VBW niya sa  | QOT tanong niya sa | false true false false
PRS sa munting prinsipe  | niya sa munting prinsipe | true false false false
NNC RBI ang JJD  | lasenggo naman ang nakatira | true true false true
PRS sa PRSP NNC  | ako sa kanyang taas | true false true true
JJD ang NNC ng  | sobra ang tangkad ng | true false true false
sa JJD na NNC  | sa sumunod na planeta | false true false true
QOT VBTS ng NNC  | QOT inamin ng lasenggo | false true false true
VBTS ng NNC na  | inamin ng lasenggo na | true false true false
ng NNC na JJD  | ng lasenggo na nakalungayngay | false true false true
VBW ito sa PRSP  | sana ito sa akin | true false false true
ang CDB na planeta  | ang ika'pat na planeta | false true false false
ng munting prinsipe CCT  | ng munting prinsipe sa | false false false true
munting prinsipe sa PRSP  | munting prinsipe sa kanya | false false false true
CDB at CDB ay  | Tatlo at dalawa ay | true false true false
at CDB ay CDB  | at dalawa ay lima | false true false true
VBTS ng munting prinsipe  | idinugtong ng munting prinsipe | true false false false
CDB ay dalawampu't CDB  | pito ay dalawampu't dalawa | true false false true
VBTR RBI sila ng  | kumakain din sila ng | true true false false
RBI sila ng mga  | din sila ng mga | true false false false
sila ng mga NNC  | sila ng mga baobab | false false false true
sinabi RBI niya sa  | sinabi pa niya sa | false true false false
sa NNC ng NNC  | sa lupa ng planeta | false true false true
JJD ng NNC ang  | kita ng mata ang | true false true false
PRO ng mga NNC  | iyon ng mga ugat | true false false true
Pananagutan PRS ang rosas  | Pananagutan mo ang rosas | false true false false
PRS ang rosas PRS  | mo ang rosas mo | true false false true
VBW ng tagapaglihis ng  | sagot ng tagapaglihis ng | true false false false
JJN JJD na NNC  | tatlong maliliit na puno | true true false true
ang NNC PRS CCT  | ang sabi niya sa | false true true true
NNC PRS sa PRSP  | sabi niya sa akin | true true false true
PRS sa PRSP ,  | niya sa akin , | true false true false
sa PRSP , QOT  | sa akin , QOT | false true false false
may mga NNC RBI  | may mga tanong pa | false false true true
VBW ng mga NNC  | makapag-aari ng mga bituin | true false false true
RBI RBI JJD ang  | pa rin kumbinsido ang | true true true false
RBI JJD ang munting  | rin kumbinsido ang munting | true true false false
JJD ang munting prinsipe  | kumbinsido ang munting prinsipe | true false false false
PRS ang NNC ng  | ko ang paglubog ng | true false true false
mga NNC RBI ang  | mga bata lamang ang | false true true false
tingnan PRP ang NNC  | tingnan natin ang paglubog | false true false true
RBF naman talagang JJD  | hindi naman talagang seryoso | true false false true
NNC na VBTR PRS  | bulaklak na dinidilig ko | true false true true
na VBTR ko RBW  | na dinidilig ko araw-araw | false true false true
VBAF ang munting prinsipe  | sumagot ang munting prinsipe | true false false false
VBTR ng NNC ang  | Kinakain ng tupa ang | true false true false
ng NNC ang PRI  | ng tupa ang lahat | false true false true
Ngunit VBTS pa rin  | Ngunit sinabi pa rin | false true false false
ang NNC ng mga  | ang gamit ng mga | false true false false
NNC ng mga NNC  | gamit ng mga tinik | true false false true
PRS VBOF ang iyong  | mo pinatay ang iyong | true true false false
JJD ang mga NNC  | Mahina ang mga bulaklak | true false false true
VBOF ang iyong NNC  | pinatay ang iyong ilaw | true false false true
VBOF ang PRSP NNC  | patayin ang aking ilaw | true false true true
PRS VBTS ang NNC  | niyang sinindihan ang ilaw | true true false true
ako , JJD ako  | ako , abala ako | false false true false
PRS VBTS ang PRSP  | niyang sinindihan ang kanyang | true true false true
VBTR PRS ang lahat  | Ginugulo mo ang lahat | true true false false
VBTS ang PRSP NNC  | sinindihan ang kanyang ilaw | true false true true
VBS PRS VBOF ang  | Gusto niyang tulungan ang | true true true false
VBTS PRS sa NNC  | Pinagalaw niya sa hangin | true true false true
hindi pa PRS JJD  | hindi pa siya nakakatingin | false false true true
Pero hindi PRS NNC  | Pero hindi siya tao | false false true true
sa NNC ang munting  | sa galit ang munting | false true false false
NNC ang munting prinsipe  | galit ang munting prinsipe | true false false false
JJD sa NNC ang  | Naupo sa mesa ang | true false true false
VBW PRS sa PRSP  | Masasabi niya sa kanyang | true true false true
sa PRSP NNC :  | sa kanyang sarili : | false true true false
VBOF PRS ang PRSP  | binitiwan ko ang aking | true true false true
At mga NNC at  | At mga siyudad at | false false true false
mga NNC at mga  | mga siyudad at mga | false true false false
NNC at mga NNC  | siyudad at mga ilog | true false false true
RBD RBD ang NNC  | nakilalang mabuti ang bulaklak | true true false true
RBD niyang RBD ang  | Pinili niyang mabuti ang | true false true false
PRS ang mga NNC  | niya ang mga eksplorer | true false false true
ng NNC ang NNC  | ng pulut-pukyutan ang buhangin | false true false true
QOT ang RBD na  | QOT ang malambing na | false false true false
ang RBD na sagot  | ang malambing na sagot | false true false false
RBD na RBD ng  | malambing na sagot ng | true false true false
RBD RBD ng NNC  | na sagot ng bulaklak | true true false true
QOT VBTS pa niya  | QOT idinagdag pa niya | false true false false
ang mga NNC PRS  | ang mga baobab mo | false false true true
NNC sa PRSP NNC  | tigre sa aking planeta | true false true true
CCB NNC ang mga  | ng damo ang mga | true true false false
NNC ang mga NNC  | damo ang mga tigre | true false false true
VBTF mo PRS ng  | Tatakluban mo ako ng | true false true false
mo PRS ng NNC  | mo ako ng garapon | false true false true
VBTR ang mga NNC  | itinatala ang mga bulaklak | true false false true
JJD RBI ang mga  | panandalian lamang ang mga | true true false false
JJD pa RBI siya  | Butil pa lamang siya | true false true false
RBI ang mga NNC  | lamang ang mga bulaklak | true false false true
ibig sabihin n'yon PMS  | ibig sabihin n'yon – | false false false true
sabihin n'yon PMS QOT  | sabihin n'yon – QOT | false false true false
RBF JJD ang mga  | Hinding-hindi naluluma ang mga | true true false false
QOT VBTS PRS sa  | QOT ipinagtapat niya sa | false true true false
ang NNC ng NNC  | ang kopya ng drowing | false true false true
Ang NNC sa NNC  | Ang sabi sa libro'y | false true false true
ang mga NNC na  | ang mga buhay na | false false true false
mga NNC na NNC  | mga buhay na bulkan | false true false true
VBW ang sinuman sa  | matatakot ang sinuman sa | true false false false
RBF NNC ang PRSP  | Hindi sombrero ang aking | true true false true
NNC ang PRSP NNC  | sombrero ang aking drowing | true false true true
ang CDB PRS NNC  | ang pangalawa kong drowing | false true true true
RBF na PRS VBTF  | hindi na siya babalik | true false true true
QOT ang VBW PRS  | QOT ang sabi niya | false false true true
ang VBW PRS sa  | ang sabi niya sa | false true true false
Hindi PRS VBW ang  | Hindi niya maintindihan ang | false true true false
sa RBL ng NNC  | sa kabila ng talon | false true false true
ang mga nasa NNP  | ang mga nasa Afrika | false false false true
QOT VBW ng NNC  | QOT sabi ng bulaklak | false true false true
sabi ng NNC sa  | sabi ng bulaklak sa | false false true false
ng NNC sa PRSP  | ng bulaklak sa kanya | false true false true
VBTF PRS ang PRSP  | Ilalagay ko ang aking | true true false true
PRS RBI hindi PRS  | ko kaya hindi mo | true true false true
Ngunit sinabi PRS sa  | Ngunit sinabi niya sa | false false true false
PRS ang PRSP NNC  | ko ang aking sarili | true false true true
RBI hindi PRS PRO  | kaya hindi mo ito | true false true true
NNC ng PRSP NNC  | makina ng aking eroplano | true false true true
PRQ RBI ang VBTF  | sino pa ang dadalaw | true true false true
VBOF mo PRS ng  | Idrowing mo ako ng | true false true false
VBW naman ng NNC  | sabi naman ng ahas | true false false true
mo ako ng PRI  | mo ako ng isang | false false false true
